class, main_axis, max_defect, min_defect, area_ratio
4, 125.575, 7500, 409, 0.41601866251944014
4, 130.648, 8062, 114, 0.4176034441521167
4, 103.711, 6719, 114, 0.4153808771716681
4, 116.516, 8721, 114, 0.4159950946040645
4, 111.126, 7066, 162, 0.4120453822500265
4, 103.47, 6517, 114, 0.4123240306248456
4, 113.358, 7874, 114, 0.42278567174338466
4, 119.474, 8394, 171, 0.4159422970223784
4, 119.403, 7410, 327, 0.41724233213594913
4, 113.159, 6778, 114, 0.4140449438202247
4, 145.674, 7574, 114, 0.4159152586886107
4, 120.441, 8156, 229, 0.41572576543586615
4, 120.603, 8519, 114, 0.4152656355077337
4, 112.058, 6946, 289, 0.4179234024085928
4, 126.846, 7555, 114, 0.41849658314350796
4, 107.336, 8110, 114, 0.41689614476789927
4, 113.159, 7045, 114, 0.41687396351575456
4, 127.13, 7600, 114, 0.421283752219004
4, 130.973, 7885, 114, 0.4187231332590352
4, 144.838, 8646, 114, 0.4202504082743604
4, 100.623, 6582, 114, 0.4141753861484803
4, 112.071, 6557, 114, 0.4149706795446706
4, 106.93, 6646, 262, 0.4197336561743341
4, 138.293, 7956, 114, 0.41902734566890454
4, 132.201, 8393, 114, 0.41417370784806273
4, 129.294, 8292, 114, 0.41667308136402126
4, 123.891, 7833, 315, 0.4161881829968513
4, 104.738, 7273, 114, 0.41945710322964136
4, 116.867, 7237, 114, 0.4159864622735417
4, 142.056, 7958, 114, 0.42100342785914613
4, 123.016, 7434, 114, 0.4156679333528208
4, 101.4, 6496, 114, 0.4161282603493659
4, 107.355, 6787, 213, 0.41677822400713965
4, 123.568, 7835, 114, 0.4177868692772258
4, 111.018, 6434, 186, 0.41378053226394457
4, 137.528, 8654, 114, 0.41961239252081345
4, 110.073, 8002, 114, 0.418567688855647
4, 120.104, 7472, 114, 0.4124104145876803
4, 102.489, 7291, 114, 0.4186481154604922
4, 132.401, 8193, 114, 0.41813927216977326
4, 137.906, 8586, 114, 0.41716750335855196
4, 111.893, 8291, 114, 0.4181302111051978
4, 116.606, 7847, 114, 0.4149530844479936
4, 146.7, 9055, 114, 0.41985965348071785
4, 114.07, 7831, 114, 0.42125691634321577
4, 116.043, 8337, 114, 0.41314242366774134
4, 104.235, 6276, 114, 0.414311408016444
4, 135.484, 7855, 114, 0.41875836680053546
4, 124.423, 7786, 252, 0.4169081302198739
4, 133.135, 8145, 114, 0.41520867116156013
4, 119.474, 8534, 114, 0.4198885976408912
4, 109.289, 7990, 250, 0.419886252206315
4, 132.966, 7303, 114, 0.41581088936252664
4, 112.004, 7170, 114, 0.4175235646958012
4, 113.004, 7390, 114, 0.41102229701304166
4, 112.009, 6902, 229, 0.41737539024652814
4, 109.371, 7549, 114, 0.41935483870967744
4, 112.894, 7071, 114, 0.41604457996004623
4, 142.274, 8212, 114, 0.418279490764589
4, 123.102, 7539, 114, 0.4183762931790286
4, 102.883, 6409, 263, 0.4157820693183272
4, 144.931, 8221, 393, 0.4183918740792432
4, 134.134, 8062, 114, 0.4199192462987887
4, 109.238, 6564, 256, 0.41535480745943326
4, 111.221, 7029, 114, 0.4166574859535089
4, 132.85, 7960, 114, 0.41846647932557207
4, 114.63, 7712, 288, 0.41419481155163973
4, 101.203, 6631, 114, 0.4181408049388579
4, 115.663, 8150, 114, 0.41637363628166985
4, 124.338, 8014, 114, 0.4139079333986288
4, 112.929, 6893, 114, 0.4174546244973372
4, 120.806, 7825, 381, 0.4188886977464304
4, 104.69, 6481, 114, 0.4155495978552279
4, 124.169, 8313, 114, 0.41940119760479044
4, 112.486, 7566, 114, 0.41387116690677095
4, 132.242, 8008, 114, 0.4211099867673387
